id,CoordinateID__abs_energy,CoordinateID__sum_values,CoordinateID__quantile__q_0.9,CoordinateID__quantile__q_0.8,CoordinateID__quantile__q_0.7,CoordinateID__quantile__q_0.6,CoordinateID__quantile__q_0.4,CoordinateID__quantile__q_0.3,CoordinateID__quantile__q_0.2,CoordinateID__quantile__q_0.1,CoordinateID__value_count__value_1,CoordinateID__median,CoordinateID__mean,CoordinateID__maximum,"CoordinateID__fft_coefficient__attr_""real""__coeff_0","CoordinateID__fft_coefficient__attr_""abs""__coeff_0","CoordinateID__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","CoordinateID__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","CoordinateID__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","CoordinateID__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",CoordinateID__minimum,Magnitude__quantile__q_0.2,Magnitude__quantile__q_0.3,Magnitude__quantile__q_0.4,Magnitude__quantile__q_0.9,Magnitude__quantile__q_0.7,Magnitude__quantile__q_0.8,Magnitude__quantile__q_0.1,Magnitude__quantile__q_0.6,Magnitude__minimum,"Magnitude__fft_coefficient__attr_""abs""__coeff_0",Magnitude__mean,Magnitude__maximum,"Magnitude__fft_coefficient__attr_""real""__coeff_0","Magnitude__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","Magnitude__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","Magnitude__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","Magnitude__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",Magnitude__sum_values,Magnitude__median,Magnitude__abs_energy
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,59.26626145,22.988171608651587,36.34749076307796,11.494085804325794,16.255092031557602,59.26626145,59.26626145,3512.4897462597564
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,58.89085716,22.842559956591764,36.11725852589346,11.421279978295882,16.152129044966323,58.89085716,58.89085716,3468.1330570395235
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,58.46301248,22.67660774896034,35.85486504646922,11.33830387448017,16.034783113597268,58.46301248,58.46301248,3417.923828236636
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,58.61598536,22.735942802848907,35.948682004157575,11.367971401424454,16.076739332563942,58.61598536,58.61598536,3435.8337397237347
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,58.53088294,22.702933313344964,35.896489418541634,11.351466656672482,16.0533980986922,58.53088294,58.53088294,3425.864257735983
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,58.95379795,22.86697340272966,36.15585957355826,11.43348670136483,16.169391958282564,58.95379795,58.95379795,3475.5502927294247
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,59.26443035,22.987461362383257,36.34636776512418,11.493730681191629,16.254589811604955,59.26443035,59.26443035,3512.2727047100007
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,59.38520883,23.034308866459664,36.42044017291192,11.517154433229832,16.287715999419046,59.38520883,59.38520883,3526.6030277827103
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,59.27132396,22.990135252819503,36.350595557120315,11.495067626409751,16.256480537664572,59.27132396,59.27132396,3513.0898439712696
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3878795632831601,0.6132914389031022,0.19393978164158004,0.2742722694811991,1.0,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,58.76619416,22.794205726594193,36.04080377524548,11.397102863297096,16.117937441035988,58.76619416,58.76619416,3453.4655760508176
